,user,date,text,hashtags,is_retweet,favourites,retweets
79,JamietalC,Tue Mar 16 14:45:14 +0000 2021,"Hire me help you get A's in your essays.
pay someone write
#Physics
#essayhelp
#English
#essaypay
#Maths
#Essaydue… https://t.co/PWhqR1pqTb",Physics essayhelp English essaypay Maths Essaydue,False,1,3
80,coder_487,Tue Mar 16 14:45:07 +0000 2021,"Mobile apps are evolving each day, especially with AI technology helping them further advance
#ai #machinelearning #mobil…",ai machinelearning,True,0,2
81,Lovescience15,Tue Mar 16 14:45:02 +0000 2021,"Day 6/100 #100DaysOfCode 

6.1 - Python functions (defining and calling)

6.2 - Indentation in Python

6.3 - while loop…",100DaysOfCode,True,0,8
82,friday_Js_bot,Tue Mar 16 14:45:00 +0000 2021,"HCL Verse helps you spend more time managing priorities!
#hclswlobp #nocode #lowcode #javascript #github #nodejs #cybers…",hclswlobp nocode lowcode javascript github nodejs,True,0,19
83,samsyn07,Tue Mar 16 14:44:59 +0000 2021,"Courses starting March 26 2021:
B

@MayowaWal @MrOluGbenga @LlnuxBot @NCCEducation 

#Linux #CyberSecurity #Python #Databas…",Linux CyberSecurity Python,True,0,2
84,SigularityHub,Tue Mar 16 14:44:58 +0000 2021,"#FEATURED #COURSES

Machine Learning A-Z�: Hands-On Python &amp; R In Data Science

Learn to create Machine Learning Algorithms in…",FEATURED COURSES,True,0,11
85,CoderRetweet,Tue Mar 16 14:44:54 +0000 2021,"HCL Verse helps you spend more time managing priorities!
#hclswlobp #nocode #lowcode #javascript #github #nodejs #cybers…",hclswlobp nocode lowcode javascript github nodejs,True,0,19
86,dmonty_python,Tue Mar 16 14:44:48 +0000 2021,"funny how people say ""dont judge a book by its cover"" but they judge music by its language",,True,0,23918
87,TheSandyCoder,Tue Mar 16 14:44:47 +0000 2021,@svpino @datasciencegem I like this approach but still prefer using Conda to using pip to install and mange softwar… https://t.co/SkYOfScZ3c,,False,1,2
88,1mobiledevo,Tue Mar 16 14:44:34 +0000 2021,"Telling a Great Data Story: A Visualization Decision Tree! 😊

https://t.co/eWLUcvy59t @AI_Miami

#100DaysOfCode #AI #Analytic…",100DaysOfCode AI,True,0,11
89,ahgopi,Tue Mar 16 14:44:29 +0000 2021,How To Deploy ML Models on #AWS. #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #PyTorch #Python #RStats…,AWS BigData Analytics DataScience AI MachineLearning IoT IIoT PyTorch Python RStats,True,0,16
90,gonsrini,Tue Mar 16 14:44:25 +0000 2021,"CSMA/CD Algorithm review, so I made a python script for fun. Feel free to use it to explain to your friend how the algori…",,True,0,13
91,CoderRetweet,Tue Mar 16 14:44:24 +0000 2021,"Get #custom #mug #tshirt #design on #fiverr #MadeOnFiverr
#100DaysOfCode #Machinelearning #IoT #100DaysOfMLCode #Python #java…",custom mug tshirt design fiverr MadeOnFiverr 100DaysOfCode Machinelearning IoT 100DaysOfMLCode Python,True,0,29
92,insanedevbot,Tue Mar 16 14:44:22 +0000 2021,"Telling a Great Data Story: A Visualization Decision Tree! 😊

https://t.co/eWLUcvy59t @AI_Miami

#100DaysOfCode #AI #Analytic…",100DaysOfCode AI,True,0,11
