,user,date,text,hashtags,is_retweet,favourites,retweets
93,NHSEArmedForces,Tue Mar 16 14:47:21 +0000 2021,Great morning presenting at @NHSEArmedForces Conference collaborating with @PDuggleby @PradShanmuga celebrating the inte…,,True,0,1
92,NqobaniNdlovu,Tue Mar 16 14:47:21 +0000 2021,"The possibility of countries demanding proof of Covid-19 vaccination and introducing vaccination passports is worrying, as it r…",,True,0,1
91,sarang143u,Tue Mar 16 14:47:21 +0000 2021,"Canada recommends use of AstraZeneca Covid-19 vaccine in people over 65 - Mint

Canada recommends use of AstraZenec… https://t.co/uO87XUizly",,False,0,0
90,cherylxls,Tue Mar 16 14:47:21 +0000 2021,"Rochdale Council has changed the criteria for its Covid-19 Discretionary Test and Trace Support Payment, meaning more r…",,True,0,1
89,LordVol99743643,Tue Mar 16 14:47:21 +0000 2021,@ab02844546 @DatsLastStraw @HemaangPatkar @Trendulkar Gujarat High court had said that when no one was ready for Co… https://t.co/tZ0AWvSAJy,,False,0,0
88,1Maesumeh1,Tue Mar 16 14:47:22 +0000 2021,"#Iran:#Coronavirus Death Toll&gt;231,800 
#Covid_19 
https://t.co/VQ1inhV3YT
.@WHO.@DrTedros.@ECDC_Outbreaks.@MSF.@WHOEMRO…",Iran Coronavirus Covid_19,True,0,2
86,Morbidana,Tue Mar 16 14:47:22 +0000 2021,"We just announced that the first participants have been dosed in the Phase 2/3 study, called the KidCOVE study, of mRNA-127…",,True,0,286
76,edtea_kzn,Tue Mar 16 14:47:23 +0000 2021,The MEC added that he believed government’s intervention would help small struggling businesses minimize the negati… https://t.co/pa1Ik8Fxdn,,False,0,0
85,NErihagerey,Tue Mar 16 14:47:22 +0000 2021,"Friends, Brothers/Sisters, Supporters Countrymen/Women and fellow humans COVID-19 is a reality that has no regard for any…",,True,0,126
84,Allen_Ridheema,Tue Mar 16 14:47:22 +0000 2021,"This #InternationalWomensDay theme, “Women in leadership: Achieving an equal future in a COVID-19 world”, highlights wom…",InternationalWomensDay,True,0,2
83,edtea_kzn,Tue Mar 16 14:47:22 +0000 2021,Priority will be given to enterprises that could not benefit from any of the available government funding schemes f… https://t.co/GcdDAj4UI5,,False,0,0
82,ericMstrauss,Tue Mar 16 14:47:22 +0000 2021,How are COVID-19 vaccines tested on children: What scientists want you to know - ABC News - https://t.co/QkL9mHOON6 via @ABC,,False,0,0
81,SwasthShaala,Tue Mar 16 14:47:23 +0000 2021,"Health is Wealth!😃
Swasth Shaala distributed masks, hand sanitizer stands and other sanitary equipment to over 300… https://t.co/gA0wIdI1iv",,False,0,0
80,LansonMoles,Tue Mar 16 14:47:23 +0000 2021,"Conservatives hate Jane Fonda because of the Vietnam War, which killed 15% as many Americans as Trump's mishandling of COVID-…",,True,0,423
79,CarersTrustHill,Tue Mar 16 14:47:23 +0000 2021,"If you are a carer you can book your first dose of the COVID-19 vaccine via the NHS or by calling 119. 

Alternativ… https://t.co/03vPysf7KR",,False,0,0
78,FrankPKing,Tue Mar 16 14:47:23 +0000 2021,"The recall was launched before the pandemic began. And yes, it’s about tRump and his most fervent supporters. It’ll… https://t.co/capMT9Ha9e",,False,0,0
77,ChicagoPerspec1,Tue Mar 16 14:47:23 +0000 2021,CVS begins administering COVID-19 vaccine at 8 pharmacies in Illinois https://t.co/TIVKP5YCVl,,True,0,1
75,_littlexingmi,Tue Mar 16 14:47:24 +0000 2021,"join the #KaiGucciChallenge on tiktok as proceeds would be to support childcare, education costs for children suffering from co…",KaiGucciChallenge,True,0,367
49,GiaccAvv,Tue Mar 16 14:47:29 +0000 2021,AstraZeneca                               Covid-19 https://t.co/OuWlk3huax,,True,0,29
50,UoY_UYMS,Tue Mar 16 14:47:29 +0000 2021,"It was an absolute pleasure to host @KoraHabinakova, Senior Ecommerce Trading Executive at Pavers Shoes, as a guest speake…",,True,0,0
48,Wine90s,Tue Mar 16 14:47:30 +0000 2021,"Nigeria Governors to Discuss COVID-19, Petrol Subsidy

https://t.co/eAI0N6dNsE",,True,0,1
23,drhbnation,Tue Mar 16 14:47:35 +0000 2021,#BREAKING Moderna announces start of Covid-19 vaccine trials for children https://t.co/kQASkWlenv,BREAKING,True,0,152
22,aggie_thompson,Tue Mar 16 14:47:35 +0000 2021,"Drawn on the office whiteboard in March 2020, the week we were told we must work from home. Still there one year on… https://t.co/6z0XyW8jfK",,False,0,0
21,jksmith2128,Tue Mar 16 14:47:35 +0000 2021,"“COVID-19 lockdowns are the biggest public health mistake we've ever made. The harm to people is catastrophic.""

~ Dr. J…",,True,0,99
20,cuestabook,Tue Mar 16 14:47:35 +0000 2021,"Scientists explain why the new Covid-19 variants could be more infectious. 

This article is free to read.",,True,0,796
19,AmyHonodel,Tue Mar 16 14:47:35 +0000 2021,"We'll discuss the eviction ban tomorrow with @CommishTick, @OliviaDiazLV, @CommishMcCurdy, and @EstaEnTusManosN. You can a…",,True,0,3
18,jazmasigan_2,Tue Mar 16 14:47:36 +0000 2021,"According to the city tally as of Tuesday afternoon, there was a total of 766 cases with 738 recoveries and 12 deaths.…",,True,0,1
17,StevMJay,Tue Mar 16 14:47:36 +0000 2021,#UPDATE US manufacturer #Moderna said Tuesday it has started #COVID19 vaccine trials for children aged from 6 months to under 12 y…,UPDATE Moderna COVID19,True,0,10
16,healthaccesszw,Tue Mar 16 14:47:36 +0000 2021,"First children vaccinated in Moderna's Phase 2/3 pediatric Covid-19 vaccine trial

https://t.co/RQPCcwumAh",,False,0,0
15,imPalak18,Tue Mar 16 14:47:36 +0000 2021,"With Mythbuster Quiz, we'll help debunk some of the myths doing the rounds about Covid-19 vaccines and let you win some…",,True,0,6
14,dianberly712,Tue Mar 16 14:47:37 +0000 2021,"Tune in now for a crowdsourced ritual of community mourning, where listeners read the names of New Yorkers who died from C…",,True,0,15
13,TrdisOprtr,Tue Mar 16 14:47:37 +0000 2021,On Thursday the EU regulator has an emergency meeting to decide if banning the AZ vaccine. If they do is unavoidable tha…,,True,0,6
12,BigMuscleTHill1,Tue Mar 16 14:47:37 +0000 2021,CHOMONKY TONST #test #Covid_19 #TrumpMeltdown #test https://t.co/vUrqcePe8v,test Covid_19 TrumpMeltdown test,True,0,1
11,VinendrasinhB,Tue Mar 16 14:47:38 +0000 2021,"The decision taken by @BCCI &amp; @GCAMotera , not to allow spectators in ongoing T20 matches is a very prudent step. It wi…",,True,0,884
10,Facundoag79,Tue Mar 16 14:47:38 +0000 2021,"We just announced that the first participants have been dosed in the Phase 2/3 study, called the KidCOVE study, of mRNA-127…",,True,0,286
